current_file,current_types,current_loc,code_reference_count_estimate,serialized_reference_count,final_action,target_owner_or_path,migration_phase,deletion_or_completion_gate,required_test_evidence,notes
Assets/Scripts/Audio/GameAudioSourceVolume.cs,GameAudioSourceVolume,65,6,5,KEEP_NARROW_OR_MERGE,ActorAudioEmitter / AmbientEmitter / AudioSourceBinding,P6,Every usage has a clear owner and no duplicate volume writer,mixer volume propagation,May remain only as a thin binding component.
Assets/Scripts/Audio/GuestFootstepAudio.cs,GuestFootstepAudio,286,14,0,MERGE_THEN_DELETE,ActorAudioEmitter,P4,All guest prefabs use shared actor audio emitter,guest movement footstep cadence,Same actor audio component for player and guests.
Assets/Scripts/Audio/GuestFootstepCatalog.cs,GuestFootstepCatalog,156,18,1,CONVERT_DATA_THEN_DELETE,ActorAudioProfile / FootstepCatalog,P4,Actor definitions reference canonical profiles; zero refs,per-actor footstep mapping,"Stable actor IDs, not names."
Assets/Scripts/Audio/GuestVoiceLineCatalog.cs,GuestVoiceLineCatalog,50,5,1,CONVERT_DATA_THEN_DELETE,DialogueCatalog,P5,Dialogue definitions contain stable speaker/line IDs; zero refs,guest dialogue lookup,Story presentation data.
Assets/Scripts/Audio/GuestVoiceLinePlayback.cs,GuestVoiceLinePlayback,458,22,1,SPLIT_MERGE_THEN_DELETE,DialogueService + ActorAudioEmitter,P6,Dialogue and emitter paths pass; zero serialized refs,"voice playback, interruption, room audibility",No actor-specific queue owner.
Assets/Scripts/Audio/PlayerFootstepAudio.cs,PlayerFootstepAudio,304,4,0,MERGE_THEN_DELETE,ActorAudioEmitter,P4,Player prefab uses shared emitter; zero refs,player footstep cadence,Unify with guest footsteps.
Assets/Scripts/CharacterController2D.cs,CharacterController2D,221,8,1,DELETE_AFTER_MIGRATION,RoomStageMotor,P4,Player and guests have one motor and no prefab refs,player/guest movement and collision,Legacy platform-style motor.
Assets/Scripts/Characters/CharacterAnimatorDriver.cs,CharacterWalkDirection | CharacterAnimatorDriver,178,18,0,REFACTOR_MOVE,Assets/_Chateau/Runtime/Game/World/House/Actors/Presentation/ActorAnimator.cs,P4,All actor animation parameters flow through ActorAnimator,idle/walk direction/pose tests,Retain useful parameter caching.
Assets/Scripts/Characters/CharacterVisualProfile.cs,CharacterVisualProfile,145,11,0,KEEP_CONVERT_MOVE,Assets/_Chateau/Data/Game/Actors/ActorPresentationProfile.asset,P4,All actor presenters use canonical profile,per-actor visual profile,"Authored data, not behavior."
Assets/Scripts/Characters/DiningRoomSeatedGuestOcclusionController.cs,DiningRoomSeatedGuestOcclusionController,153,5,1,MERGE_THEN_DELETE,ActorPresenter + SeatOcclusionSlot,P4,All dining seats use authored slots; no global lookup/component creation,eight-seat occlusion PlayMode,"Presentation rule, not controller."
Assets/Scripts/Characters/DiningRoomSeatedGuestOcclusionException.cs,DiningRoomSeatedGuestOcclusionException,277,5,0,CONVERT_DATA_THEN_DELETE,SeatOcclusionSlot / ActorPresentationOverride,P4,All overrides migrated and zero refs,seat override restore,Narrow data override only.
Assets/Scripts/Characters/GuestRoomScaleApplier.cs,GuestRoomScaleApplier,813,75,1,MERGE_THEN_DELETE,ActorPresenter,P4,Exactly one actor scale writer and all guest refs migrated,"cold-start scale, room transition scale",Remove LateUpdate/global applier.
Assets/Scripts/Characters/GuestRoomScaleCalibration.cs,GuestRoomScaleEntry | GuestRoomScaleCalibration,371,113,1,MOVE_EDITOR_AND_CONVERT_DATA,Editor/Authoring/ActorPresentationCalibrationWindow + profiles,P4,Runtime component removed; calibration values stored in profiles,deterministic calibration regression,Never rewrite values on ordinary OnGUI repaint.
Assets/Scripts/Characters/GuestRoomStageScaleUtility.cs,GuestRoomStageScaleUtility,188,15,0,KEEP_PURE_OR_DELETE,ActorProjectionMath,P4,Only deterministic pure math remains with at least two consumers,projection math unit tests,Delete if ActorPresenter can own it without duplication.
Assets/Scripts/Characters/GuestScaleParticipant.cs,CharacterPose | GuestScaleParticipant,748,195,8,MERGE_THEN_DELETE,ActorControllerBase + ActorPresenter,P4,Logical pose and presentation data have one owner,guest pose/scale regression,Duplicate state removed.
Assets/Scripts/Characters/RoomPersonWalker2D.cs,RoomPersonWalker2D,803,47,2,MERGE_THEN_DELETE,RoomStageMotor,P4,Every actor uses shared motor; zero refs,guest waypoint/panic/seat movement,Decision source must not execute movement.
Assets/Scripts/Characters/RoomPerspectiveProfile.cs,RoomPerspectiveProfile,262,71,2,KEEP_MOVE,Assets/_Chateau/Data/Game/Rooms/RoomPerspectiveProfile.asset,P4,All rooms reference canonical profiles,room projection unit tests,Canonical room presentation data.
Assets/Scripts/Characters/RoomProjectedEntity.cs,RoomProjectedEntity,1229,122,7,MERGE_THEN_DELETE,ActorPresenter for actors; SetPieceView for props,P4,All serialized uses classified and migrated; zero refs,actor and prop projection parity,No mixed actor/prop presentation owner.
Assets/Scripts/Characters/WorldYSortSpriteRenderer.cs,WorldYSortSpriteRenderer,176,2,11,MERGE_THEN_DELETE,ActorPresenter or SetPieceView,P3/P4,Every serialized use migrated and exactly one sort writer remains,Y-sort/occlusion parity,Do not derive sort from world bounds.
Assets/Scripts/Characters/YSortSolidObstacle2D.cs,YSortSolidObstacle2D,91,3,0,DELETE_AFTER_MIGRATION,RoomNavigationGeometry / none,P3,No refs and collision no longer writes sorting,set-piece collision and occlusion,Currently zero serialized instances; verify code refs.
Assets/Scripts/Environment/RoomEnvironmentMarker.cs,RoomEnvironmentItemKind | RoomEnvironmentMarker,40,11,21,MOVE_EDITOR_ONLY,Assets/_Chateau/Editor/Authoring/RoomEnvironmentAuthoringMarker.cs,P6,No player-build dependency remains,editor authoring validation,"Marker is authoring metadata, not runtime behavior."
Assets/Scripts/Lighting/NoPostProcessRenderLayer.cs,NoPostProcessRenderLayer,60,8,0,KEEP_NARROW_MOVE,Game/World/Presentation/Camera/NoPostProcessMarker.cs,P6,Serialized render rig owns required layers,render-layer parity,Small marker acceptable.
Assets/Scripts/Lighting/PostProcessBypassCamera.cs,PostProcessBypassCamera,158,13,0,MERGE_THEN_DELETE,CameraService serialized RoomCameraRig,P6,Serialized rig passes visual tests and zero refs,post-process bypass visual parity,No runtime camera repair.
Assets/Scripts/Lighting/RoomLightOverlay.cs,RoomLightOverlay,421,17,680,REFACTOR_IN_PLACE_THEN_MOVE,Game/World/House/Props/Lights/LightView.cs,P6,All 680 serialized instances validated; no generation behavior remains,room light state and visual parity,Preserve GUID until automated component migration is proven.
Assets/Scripts/Lighting/RoomLightingController.cs,RoomLightingController,779,3,1,SPLIT_THEN_REPLACE,LightingService + Editor LightingBakeTool,P6,Runtime service only controls authored views; editor tool owns generation,all rooms light state + no runtime mutations,ExecuteAlways scene repair removed; Slice 1.2 gives the facade the typed lighting composition role at order 500.
Assets/Scripts/Lighting/RoomLightingPreset.cs,RoomLightingPreset | RoomLightDefinition | RoomLightAnimationStyle,44,20,1,KEEP_CONVERT_MOVE,Assets/_Chateau/Data/Game/Props/Lights/LightDefinition.asset,P6,Canonical light data validated,lighting data validation,Data asset.
Assets/Scripts/MainMenuController.cs,MainMenuController,1516,4,1,SPLIT_THEN_DELETE,MainMenuScreen + SessionFlow/SaveService,P7,Authored menu view and real New/Continue paths pass,MainMenu New Game/Continue PlayMode,No runtime canvas construction.
Assets/Scripts/Navigation/DoorButton.cs,DoorButton,190,16,0,DELETE_AFTER_INTERACTION_MIGRATION,PassageInteraction,P2,Zero serialized/code refs after all door interactions migrate,passage click/keyboard tests,Legacy navigation path.
Assets/Scripts/Navigation/DoorCameraSequence.cs,DoorCameraSequence,92,10,1,CONVERT_DATA_THEN_DELETE,PassageDefinition / CameraTransitionProfile,P2,All valid sequence data migrated; zero refs,passage camera parity,No parallel route graph.
Assets/Scripts/Navigation/DoorDataParser.cs,RoomDefinition | DoorRoute | DoorDataParseResult | DoorDataParser,173,43,0,MOVE_EDITOR_TEMP_THEN_DELETE,Editor PassageImporter,P2,doors.txt fully converted and importer no longer needed,route inventory certification,Must not remain in runtime.
Assets/Scripts/Navigation/DoorPromptSequenceController.cs,DoorPromptSequenceController,274,4,1,MERGE_THEN_DELETE,PassageInteraction + InteractionPromptView,P2,All prompt behavior migrated; zero refs,door prompt parity,One interaction path.
Assets/Scripts/Navigation/DoorTriggerNavigation.cs,DoorTriggerNavigation,1452,75,58,FACADE_MIGRATE_THEN_DELETE,PassageInteraction,P2,All 45 triggers migrated to canonical passages and zero refs,every directed passage transition,"Slice 2.2-10a removes this facade's duplicate destination-region arrival sampler: legacy callers now translate their existing RectTransform into four runtime corners and delegate to PassageArrivalResolver. Exactly 20 of 45 Gameplay trigger callers remain canonical and 25 remain legacy/null until Group10 production authoring; PassageInteraction ownership and deletion remain open."
Assets/Scripts/Navigation/ObjectMovementBlocker2D.cs,ObjectMovementBlocker2D,179,19,49,REPLACE_THEN_DELETE,RoomNavigationGeometry / NavigationObstacle,P3,Every collision footprint authored under room geometry,all set-piece collision tests,Collision owner never changes sorting.
Assets/Scripts/Navigation/RoomContentGroup.cs,RoomContentGroup,256,223,22,FACADE_MIGRATE_THEN_DELETE,RoomView + RoomViewService,P3,All 19 room roots use RoomView; descendant state persists; zero refs,room activation/re-entry/hidden state,Remove renderer normalization and transform flattening.
Assets/Scripts/Navigation/RoomNavigationManager.cs,RoomNavigationManager | RoomChangedEvent,1543,73,1,FACADE_SPLIT_THEN_DELETE,NavigationService + RoomViewService,P2/P3,All callers use target services; one room writer; zero serialized refs,"all routes, room activation, arrival, camera","Slice 2.2-10a adds typed dispatch for Passage-owned destination regions after destination-room activation while leaving the default exact-point and unmigrated-trigger paths intact. Compatibility destination spelling is read from PassageDefinition. This serialized INavigationService facade remains authoritative until target NavigationService/RoomViewService ownership transfer."
Assets/Scripts/Navigation/RoomVisualCatalog.cs,RoomVisualCatalog | RoomVisualEntry,45,22,1,CONVERT_DATA_THEN_DELETE,RoomDefinition / GameDatabase,P2,All room visuals stored canonically; zero refs,room definition validation,No parallel room catalog.
Assets/Scripts/Oddities/OdditySpriteAnimator.cs,OdditySpriteAnimator,246,1,0,MERGE_OR_DELETE,FrameSequenceView + FrameSequenceDefinition,P6,Serialized/content audit chooses one canonical frame path,oddity animation parity if used,Delete if no approved requirement or serialized use.
Assets/Scripts/PlayerMovement.cs,PlayerMovement,300,7,1,DELETE_AFTER_MIGRATION,PlayerCommandSource + RoomStageMotor,P4,No prefab/code refs; player movement parity,keyboard fallback if still approved,Legacy input/movement path.
Assets/Scripts/PointClickPlayerMovement.cs,PointClickPlayerMovement,4477,278,2,FACADE_SPLIT_THEN_DELETE,PlayerCommandSource + RoomStageMotor + ActorPresenter,P4,"All movement/presentation responsibilities migrated; zero refs","click path, collision, door approach, scale, animation","Slice 2.2-10a implements IPassageArrivalQuery as a narrow read/query compatibility capability over the existing reachability methods; it does not add movement state or behavior. The future P4 RoomStageMotor must implement the capability before this facade can be deleted."
Assets/Scripts/StaticFrameGroup.cs,StaticFrameGroup,68,5,0,MERGE_DATA_THEN_DELETE,FrameSequenceDefinition,P6,All static frame data migrated,frame sequence playback,One canonical data type.
Assets/Scripts/StaticNoisePlayer.cs,StaticNoisePlayer,305,2,1,MERGE_THEN_DELETE,FrameSequenceView,P6,All serialized uses migrated or proven unused,static/oddity playback,Choose one player implementation.
Assets/Scripts/StaticSet.cs,StaticSet,35,3,0,MERGE_DATA_THEN_DELETE,FrameSequenceDefinition,P6,All assets migrated,frame data validation,One canonical data type.
Assets/Scripts/StaticSetImagePlayer.cs,StaticSetImagePlayer,288,8,24,REFACTOR_OR_MERGE,FrameSequenceView,P6,Chosen canonical path owns all uses,frame sequence lifecycle,May be converted in place to preserve GUID.
Assets/Scripts/Story/ActorRoomState.cs,ActorRoomState,1012,145,0,MERGE_THEN_DELETE,ActorControllerBase + ActorRegistry,P4,Every actor has one logical room/state owner,actor room membership and visibility,No transform/presentation state.
Assets/Scripts/Story/ChapterClock.cs,ChapterClock,188,39,1,REFACTOR_IN_PLACE_MOVE,Game/Scheduler/Clock/ClockService.cs,P1,Sole time owner with all callers migrated,time advance/pause/restore,"Slice 1.4 complete in place: lifecycle-gated sole time writer, immutable full-value capture/restore, deterministic post-advance signal, and shutdown freeze; retain class/GUID/API until concrete callers and file path migrate."
Assets/Scripts/Story/ChapterEventScheduler.cs,ChapterEventScheduler,285,7,1,REFACTOR_IN_PLACE_MOVE,Game/Scheduler/GameScheduler.cs,P1,Sole scheduled-callback owner; no chapter logic,"ordering, cancel, clear/rearm restore","Slice 1.4 complete in place: deterministic clock-driven callback execution, per-ID cancellation, shutdown clear/unsubscribe, and no reference repair; pending callbacks remain transient and Story re-arms them after clock restore."
Assets/Scripts/Story/ChapterIntroUI.cs,ChapterIntroUI,211,12,1,REPLACE_THEN_DELETE,Story/Presentation/UI/ChapterIntroScreen.cs,P6,Authored screen and transitions pass; zero refs,chapter intro fade/title,No runtime UI construction.
Assets/Scripts/Story/ChapterManager.cs,ChapterPhase | ChapterManager,621,32,1,FACADE_REPLACE_THEN_DELETE,Story/GameFlowService + StoryState,P5,"Sole chapter/beat owner, all callers migrated, zero refs","Ch1/Ch2 transitions, state restore",No competing Chapter2 phase authority; Slice 1.2 gives the facade the typed game-flow composition role at order 800.
Assets/Scripts/Story/CoatCloset.cs,CoatCloset,43,20,1,SPLIT_THEN_DELETE,Game Prop CoatClosetView + Story Coat objective,P5,Physical interaction and story state separated,coat pickup/store/restore,Physical object belongs to Game.
Assets/Scripts/Story/DoorbellSystem.cs,DoorbellSystem,223,5,1,SPLIT_THEN_DELETE,Game Prop DoorbellView + Story Arrival beat,P5,"Timing, audio and physical state separated",arrival schedule and empty ring,Physical object belongs to Game.
Assets/Scripts/Story/GameplayRuntimeState.cs,GameplayRuntimeState,55,5,0,REPLACE_THEN_DELETE,GameSessionState + SaveService,P7,No static mutable session state; New/Continue tested,session reset and save restore,One durable session owner.
Assets/Scripts/Story/NPCWaypointMover.cs,NPCWaypointMover,245,31,0,REFACTOR_THEN_DELETE,GuestDecisionSource + RoomStageMotor,P4,All decision logic issues commands to shared motor,waypoint/panic movement,Not a second motor.
Assets/Scripts/Story/RoomAnchor.cs,RoomAnchor,73,67,78,REFACTOR_IN_PLACE_MOVE,Game/World/House/Rooms/RoomAnchor.cs,P2/P3,All 79 serialized refs mapped to typed anchor roles,room staging/arrival/seat anchors,"Physical world element, not Story."
Assets/Scripts/UI/CursorStyleCatalog.cs,CursorStyleCatalog,151,31,0,KEEP_CONVERT_MOVE,Data/Game/Input/CursorCatalog,P6,InputRouter owns selected cursor and data lookup,cursor style selection,No Resources path dependency.
Assets/Scripts/UI/NavigationCursorHoverTarget.cs,NavigationCursorHoverTarget,100,7,0,MERGE_THEN_DELETE,InteractionTargetBase + CursorPresenter,P6,All interactions share hover behavior,cursor enter/exit/modal,No separate hover component.
Assets/Scripts/UI/PostProcessSafeCanvasUtility.cs,PostProcessSafeCanvasUtility,125,6,0,KEEP_PURE_OR_MOVE_EDITOR,UIRenderUtility / Editor authoring,P6,No runtime canvas construction remains,canvas render mode tests,Retain only deterministic configuration.
Assets/Scripts/UI/RuntimeSettingsMenu.cs,RuntimeSettingsMenu,1461,29,1,SPLIT_THEN_DELETE,UIService + SettingsScreen + DebugScreen,P6,Authored views and modal/input behavior pass,settings and debug controls,Teleport/time controls development-only.
Assets/Scripts/UI/SpeakingCharacterIndicator.cs,SpeakingCharacterIndicator,626,17,1,REFACTOR_MOVE,Story/Presentation/Dialogue/DialogueSpeakerView.cs,P6,DialogueService owns state; view only renders,speaker indicator lifecycle,No service discovery.
Assets/Scripts/UI/SubtitleLine.cs,SubtitleLine,14,7,0,KEEP_RENAME_MOVE,Data/Story/Dialogue/DialogueLine.cs,P5/P6,All line data migrated with stable IDs,dialogue catalog validation,Small serializable data type.
Assets/Scripts/UI/SubtitleLineBank.cs,SubtitleSpeakerPortraitBinding | SubtitleLineBank,68,11,1,KEEP_CONVERT_MOVE,Data/Story/Dialogue/DialogueCatalog.asset,P5/P6,DialogueService uses canonical catalog,line/portrait/voice lookup,No essential Resources lookup.
Assets/Scripts/UI/SubtitleService.cs,SubtitleService,786,21,1,FACADE_SPLIT_THEN_DELETE,DialogueService + SubtitleScreen,P6,Queue/state and view split; all callers migrated,"subtitle queue, room visibility, interruption",One dialogue queue owner; Slice 1.2 retains the facade as an untyped transitional service at order 600 rather than creating a permanent Core subtitle role.
Assets/Scripts/UrpPostProcessingBootstrap.cs,UrpPostProcessingBootstrap,66,1,0,DELETE_AFTER_RIG_MIGRATION,Serialized RoomCameraRig,P6,No runtime render rig creation; visual parity passes,post-processing camera test,Required rig authored in scene.
Assets/_Chateau/Runtime/Core/ChateauBehaviour.cs,,89,,0,KEEP_EXPAND_NARROWLY,Assets/_Chateau/Runtime/Core/ChateauBehaviour.cs,P0,N/A,GameRootLifecycleContractTests exact binding/unbinding and exception cleanup,No service lookup helpers; Slice 1.3 always clears owned context even when cleanup callbacks fail.
Assets/_Chateau/Runtime/Core/GameContext.cs,,229,,0,KEEP_REFACTOR_TYPED,Assets/_Chateau/Runtime/Core/GameContext.cs,P0/P1,Typed required service properties validated,context construction/order,"Slice 1.2 complete: seven canonical immutable typed roles plus an extensible ordered snapshot; no generic, string-keyed, lifecycle, or global lookup."
Assets/_Chateau/Runtime/Core/GameRoot.cs,,365,,1,KEEP_HARDEN,Assets/_Chateau/Runtime/Core/Bootstrap/GameRoot.cs,P0/P1,Fails startup on invalid production config; deterministic services,GameRootLifecycleContractTests 5/5 plus Gameplay exact-set validation and rendered cold-start,"Owns composition only; Slice 1.3 makes production validation root-fatal, initializes services before binders, and performs binder-first/reverse-service rollback without runtime repair."
Assets/_Chateau/Runtime/Core/GameServiceBase.cs,,154,,0,KEEP,Assets/_Chateau/Runtime/Core/GameServiceBase.cs,P0,N/A,GameRootLifecycleContractTests transition reentry partial failure reverse shutdown and exception cleanup,One domain per concrete service; Slice 1.3 rejects cross-context/reentrant lifecycle and always releases its context.
Assets/_Chateau/Runtime/Core/IGameService.cs,GameClockState | IGameService | IClockService | ISchedulerService | ICameraService | INavigationRuntimeService | ILightingService | IDialogueService | IGameFlowService | GameServiceInitializationOrder,128,,0,KEEP,Assets/_Chateau/Runtime/Core/Contracts/IGameService.cs,P0/P1,One explicit implementation for each canonical composition role,service lifecycle and typed composition,"Core contract; Slice 1.4 promotes clock and scheduler from composition markers to narrow behavioral contracts and adds immutable clock state while other owning slices retain lifecycle-free roles."
Assets/_Chateau/Runtime/Core/StateMachine.cs,,62,,0,KEEP,Assets/_Chateau/Runtime/Core/State/StateMachine.cs,P0/P5,N/A,transition validation,Used by StoryState and local beat state.
Assets/_Chateau/Runtime/Core/ValidationReport.cs,,101,,0,KEEP,Assets/_Chateau/Runtime/Core/Validation/ValidationReport.cs,P0,N/A,validation aggregation,Core diagnostics.
Assets/_Chateau/Runtime/Data/DefinitionAssetBase.cs,,27,,0,KEEP,Assets/_Chateau/Runtime/Core/Data/DefinitionAssetBase.cs,P0,N/A,stable ID/version validation,Base for authored definitions.
Assets/_Chateau/Runtime/Data/GameDatabase.cs,,349,,1,KEEP_EXPAND,Assets/_Chateau/Runtime/Core/Data/GameDatabase.cs,P0/P7,All essential definitions serialized; duplicate IDs impossible,typed room/passage registration and fail-closed lookup,"Typed indexes validate exact passage references and cross-room alias ambiguity; no arbitrary string path lookup. Slice 2.2-09 registers 39 definitions total (19 rooms and 20 passages), while the remaining passage catalog continues with Group10 GEH/GEH Rear."
Assets/_Chateau/Runtime/Gameplay/ActorControllerBase.cs,,6,,0,KEEP_IMPLEMENT,Assets/_Chateau/Runtime/Game/World/House/Actors/Core/ActorControllerBase.cs,P4,Concrete player and guest implementations exist,actor state lifecycle,Authoritative actor logical state.
Assets/_Chateau/Runtime/Gameplay/ActorMotorBase.cs,,6,,0,KEEP_IMPLEMENT,Assets/_Chateau/Runtime/Game/World/House/Actors/Movement/ActorMotorBase.cs,P4,RoomStageMotor is sole executor,movement contract,No input/decision logic.
Assets/_Chateau/Runtime/Gameplay/ActorPresenterBase.cs,,6,,0,KEEP_IMPLEMENT,Assets/_Chateau/Runtime/Game/World/House/Actors/Presentation/ActorPresenterBase.cs,P4,ActorPresenter is sole presentation writer,position/scale/sort/tint tests,No logical story state.
Assets/_Chateau/Runtime/Gameplay/ChapterControllerBase.cs,,6,,0,KEEP_IMPLEMENT,Assets/_Chateau/Runtime/Story/Chapters/ChapterControllerBase.cs,P5,Chapter 1/2 controllers only coordinate beats,chapter lifecycle,No pathfinding/UI creation.
Assets/_Chateau/Runtime/Gameplay/ChapterFeatureBase.cs,,10,,0,TEMPORARY_DELETE,StoryBeatBase,P5,All feature controllers extracted and zero refs,beat lifecycle tests,Remove extraction seam at end of Story migration.
Assets/_Chateau/Runtime/Gameplay/InteractionTargetBase.cs,,6,,0,KEEP_IMPLEMENT,Assets/_Chateau/Runtime/Game/World/Interactions/InteractionTargetBase.cs,P2/P6,All physical interactions use one router,pointer/range/modal/cursor tests,Dispatch typed results; no story lookup.
Assets/_Chateau/Runtime/Gameplay/RoomElementBase.cs,,6,,0,KEEP_IMPLEMENT,Assets/_Chateau/Runtime/Game/World/House/Rooms/RoomElementBase.cs,P2/P3,All room elements have stable room identity,room binding validation,Physical world identity.
Assets/_Chateau/Runtime/Gameplay/StoryBeatBase.cs,,21,,0,KEEP_IMPLEMENT,Assets/_Chateau/Runtime/Story/Chapters/StoryBeatBase.cs,P5,Concrete Chapter 1 and 2 beats exist,beat enter/tick/exit/cancel,Plain C# preferred; current base may be adapted.
Assets/_Chateau/Runtime/Gameplay/UIScreenBase.cs,,6,,0,KEEP_IMPLEMENT,Assets/_Chateau/Runtime/Core/Presentation/UI/UIScreenBase.cs,P6,All screens use UIService lifecycle,screen/modal lifecycle,Views render only.
Assets/_Chateau/Runtime/UI/GameTimeHUD.cs,,89,4,1,KEEP_MOVE_RENAME_OPTIONAL,Assets/_Chateau/Runtime/Game/Scheduler/Clock/Presentation/ClockView.cs,P1/P6,ClockService drives it and no chapter coupling,clock display lifecycle,No runtime view construction.
Assets/_Chateau/Runtime/World/Navigation/INavigationService.cs,,12,1,0,KEEP_EXPAND_CONTRACT,Assets/_Chateau/Runtime/Game/World/Navigation/INavigationService.cs,P2,Only target NavigationService implements it,navigation contract tests,"Contract must expose stable IDs, not names. Through Slice 2.2-09 the RoomNavigationManager compatibility facade remains the authoritative implementation; the target-only implementation and deletion gates remain open. Group10 GEH/GEH Rear is next."
Assets/_Chateau/Runtime/World/Rooms/Passages/Passage.cs,,191,2,20,KEEP_EXPAND,Assets/_Chateau/Runtime/Game/World/House/Props/Doors/Passage.cs,P2,All directed passages authored; rollout stage removed,passage validation,"Slice 2.2-10a adds default-zero exact-point versus authored four-corner destination-region placement. All existing 20 scene documents omit the new fields and retain exact-point behavior; Group10 is the first planned region consumer. Rollout-stage and topology gates remain open."
Assets/_Chateau/Runtime/World/Rooms/Passages/PassageAnchorData.cs,,76,2,0,KEEP_REFACTOR,RoomAnchorReference / PassageAnchorData,P2,All anchors authored; no legacy sampling,anchor validation,"Slice 2.2-09 retains backward-compatible LegacyPlayerLogical=0 for 16 Passage documents and serializes RoomViewLocal=1 for four documents through Service Corridor/Chapel. The Group09 points are Service Corridor (-133.2642, -171.8258) and Chapel (461.4019, -190.7613); future route migrations and legacy-sampling deletion remain open. Group10 GEH/GEH Rear is next."
Assets/_Chateau/Runtime/World/Rooms/Passages/PassageArrivalResolver.cs,PassageArrivalRegionData | PassageArrivalRegionCorner | PassageArrivalRuntimeRegion | PassageArrivalMovementQuery | IPassageArrivalQuery | PassageArrivalResolver,481,8,0,KEEP_REFACTOR,Assets/_Chateau/Runtime/Game/World/House/Props/Doors/PassageArrivalResolver.cs,P2,Every authored destination-region passage resolves through this owner and legacy trigger sampling reaches zero,"destination-region parity; ordered candidate and fallback determinism; viewport/zoom passage traces","Slice 2.2-10a introduces one typed four-corner RoomView-local arrival-region policy for routes whose approved landing cannot be represented by a point. Existing Passages default to exact point mode; DoorTriggerNavigation delegates the temporary legacy region edge to this resolver."
Assets/_Chateau/Runtime/World/Rooms/Passages/PassageDefinition.cs,,128,1,20,KEEP_EXPAND,Assets/_Chateau/Runtime/Game/World/House/Props/Doors/PassageDefinition.cs,P2,All passage topology canonical,definition validation,"Slice 2.2-10a adds an optional destination compatibility spelling validated against RoomDefinition aliases; omitted data preserves PrimaryLegacyName for all existing definitions. Group10 will use the override only to retain the approved title-case Rear View event spelling. Exceptional topology remains future work."
