current_file,current_types,baseline_loc,code_reference_count,serialized_reference_count,action,target_owner_or_family,migration_phase,notes
Assets/Scripts/Navigation/DoorPromptSequenceController.cs,DoorPromptSequenceController,274,4,0,Retire after interaction migration,PassageInteraction + UI prompt,4,Parallel navigation/prompt path.
Assets/Scripts/Navigation/RoomVisualCatalog.cs,RoomVisualCatalog | RoomVisualEntry,45,22,2,Convert then retire,RoomDefinition,4,Room visual data joins canonical definitions.
Assets/Scripts/Navigation/RoomContentGroup.cs,RoomContentGroup,256,223,22,Replace behavior,RoomView + serialized SetPieceView bindings,4,Must stop force-enabling descendants flattening transforms and repairing renderer state.
Assets/Scripts/Navigation/DoorButton.cs,DoorButton,190,16,0,Migrate/review,World / Navigation,4,Map to canonical room/passage architecture.
Assets/Scripts/Navigation/ObjectMovementBlocker2D.cs,ObjectMovementBlocker2D,179,19,49,Split behind facade,RoomNavigationGeometry + SetPieceView adapter,4,Three migrated Drawing Room footprints are preserved with sorting disabled; remaining legacy blockers still require one-prop-at-a-time migration.
Assets/Scripts/Characters/GuestScaleParticipant.cs,CharacterPose | GuestRoomResolutionTrace | GuestScaleParticipant,748,195,8,Consolidate,ActorController + ActorPresenter,5,Fold duplicate scale/pose state.
Assets/Scripts/Story/ActorRoomState.cs,ActorRoomState,1012,145,0,Consolidate,ActorControllerBase + ActorRegistry,5,One authoritative actor state owner.
Assets/Scripts/Characters/GuestRoomScaleApplier.cs,GuestScaleApplyResult | GuestScaleComputation | GuestRoomScaleApplier,844,75,1,Consolidate,ActorPresenter,5,Existing scene owner is explicitly bound to Chapter 1/calibration; runtime owner factory removed. Preserve deliberate per-guest participant creation until ActorPresenter migration.
Assets/Scripts/Characters/RoomProjectedEntity.cs,RoomProjectedEntity,1229,122,7,Consolidate,ActorPresenter + SetPieceView for foreground props,5,Tea table and purple armchair removed from all six serialized copies; remaining actor/prop uses migrate only after characterization.
Assets/Scripts/Characters/CharacterAnimatorDriver.cs,CharacterWalkDirection | CharacterAnimatorDriver,178,18,0,Migrate/review,Actors,5,"Map to actor controller, motor, presenter, or definition."
Assets/Scripts/Characters/CharacterVisualProfile.cs,CharacterVisualProfile,145,11,0,Migrate/review,Actors,5,"Map to actor controller, motor, presenter, or definition."
Assets/Scripts/Characters/DiningRoomSeatedGuestOcclusionController.cs,DiningRoomSeatedGuestOcclusionController,153,5,1,Replace then retire,ActorPresenter + serialized SeatOcclusionSlot,5,Remove global lookup and runtime component creation after all eight seats pass.
Assets/Scripts/Characters/DiningRoomSeatedGuestOcclusionException.cs,DiningRoomSeatedGuestOcclusionException,277,5,0,Replace then retire,ActorPresenter + serialized SeatOcclusionSlot,5,ActorPresenter owns seated sorting and restores normal presentation on exit.
Assets/Scripts/Characters/GuestRoomScaleCalibration.cs,GuestRoomScaleEntry | GuestRoomScaleCalibration,371,113,2,Migrate/review,ActorDefinition / RoomDefinition,5,Existing scene calibration is owned by the bound applier and points to the approved Butler source; runtime replacement factory removed.
Assets/Scripts/Characters/GuestRoomStageScaleUtility.cs,GuestRoomStageScaleUtility,188,15,0,Migrate/review,Actors,5,"Map to actor controller, motor, presenter, or definition."
Assets/Scripts/Characters/RoomPerspectiveProfile.cs,RoomPerspectiveProfile,262,71,2,Migrate/review,Actors,5,"Map to actor controller, motor, presenter, or definition."
Assets/Scripts/Characters/WorldYSortSpriteRenderer.cs,WorldYSortSpriteRenderer,176,2,11,Replace then retire,SetPieceView + RoomDepthResolver,5,Migrate Dining overlays to one room-local sort writer; never use world bounds.
Assets/Scripts/Characters/YSortSolidObstacle2D.cs,YSortSolidObstacle2D,91,3,0,Prune after WorldYSort migration,RoomNavigationGeometry or none,5,Zero serialized instances; delete after the optional WorldYSort reference disappears.
Assets/Scripts/PlayerMovement.cs,PlayerMovement,300,7,1,Retire after prefab migration,Player command source,5,Legacy input/movement path.
Assets/Scripts/PointClickPlayerMovement.cs,PointClickPlayerMovement,4414,278,2,Split behind facade,Player command source + RoomStageMotor + ActorPresenter,5,Adds finite-safe TryWarpToExact for collision-validated canonical placement without clamp projection or old-room pathfinding; movement/presentation split remains.
Assets/Scripts/CharacterController2D.cs,CharacterController2D,221,8,1,Retire after prefab migration,RoomStageMotor,5,Legacy movement component.
Assets/Scripts/Characters/RoomPersonWalker2D.cs,RoomPersonWalker2D,803,47,2,Consolidate,RoomStageMotor,5,Shared movement executor.
Assets/Scripts/Story/NPCWaypointMover.cs,NPCWaypointMover,245,31,0,Consolidate,WaypointCommandSource + RoomStageMotor,5,"Decision source, not second motor."
Assets/_Chateau/Scripts/Chapter/Chapter01/Chapter1ArrivalController.cs,Chapter1ArrivalController,7193,37,1,Split behind facade,Chapter1Controller + StoryBeatBase,6,"Entrance/core/front-door/catalog/room/placemark/door-target/eight-point and doorbell ownership are direct without repair; duplicate exit-target and legacy grandfather-clock paths are retired; extract beats one at a time."
Assets/_Chateau/Scripts/Chapter/Chapter02/Chapter2Controller.cs,Chapter2Phase | Chapter2Controller,1330,30,0,Split behind facade,Chapter2Controller + StoryBeatBase,6,"All fourteen stable serialized dependencies—including the dedicated clock source, Game-Sounds volume binding, and imported clip—are validated with no repair search; every entry command enforces the serialized ChapterManager. Clock playback contains no resource, component, or runtime-tone fallback."
Assets/Scripts/Story/ChapterIntroUI.cs,ChapterIntroUI,536,12,1,Migrated,UI / Chapter Intro Screen,3,"Existing owner `3301000003` directly references one canonical scene-root Canvas and authored overlay/fade/title graph; all search/factory/component/layout repair is removed and rendered transitions retain exact behavior."
Assets/_Chateau/Runtime/UI/GameTimeHUD.cs,GameTimeHUD,138,4,1,Migrated,UI / GameTimeHUD,3,"Global GameRoot child owns one exact Canvas/TMP/Shadow graph; Chapter 1 coupling and all search/factory/EventSystem/legacy-panel repair paths are removed."
Assets/Scripts/Story/CoatCloset.cs,CoatCloset,43,20,1,Migrate/review,Game Flow / Story,6,"Map to an approved beat, state owner, or world interaction."
Assets/Scripts/Story/DoorbellSystem.cs,DoorbellSystem,238,5,0,Migrate/review,Game Flow / Story,6,"Map to an approved beat, state owner, or world interaction."
Assets/Scripts/Story/GameClockHandsDisplay.cs,GameClockHandsDisplay,610,14,0,Pruned,None,6,Self-registering analog overlay had zero external code/serialized/resource/reflection references and attached zero runtime instances across the tested gameplay route; current clock UI/audio owners remain.
Assets/Scripts/Story/GameplayRuntimeState.cs,GameplayRuntimeState,55,5,0,Migrate/review,Game Flow / Story,6,"Map to an approved beat, state owner, or world interaction."
Assets/Scripts/Story/GrandfatherClockInteraction.cs,GrandfatherClockInteraction,298,10,0,Pruned,ClockTickingAmbienceController + Chapter2 clock owners,6,"Zero serialized instances and no reachable action; duplicate synthetic ticking and disabled generic modal retired after exact lifecycle characterization."
Assets/Scripts/Story/RoomAnchor.cs,RoomAnchor,73,67,79,Migrate/review,Game Flow / Story,6,"Map to an approved beat, state owner, or world interaction."
Assets/_Chateau/Scripts/Chapter/Chapter01/Chapter1CoatPickup.cs,Chapter1CoatPickup,245,19,0,Migrate/review,Game Flow / Story,6,"Map to an approved beat, state owner, or world interaction."
Assets/_Chateau/Scripts/Chapter/Chapter01/Chapter1InteractionHUD.cs,Chapter1InteractionHUD,164,4,1,Migrate/review,UIService / Chapter1View,6,Serialized once and bound only to Chapter1ArrivalController; dead clock/time pass-through removed while its canvas/text remain lazy.
Assets/_Chateau/Scripts/Chapter/Chapter01/Chapter1SceneAction.cs,Chapter1SceneActionType | Chapter1SceneAction,553,13,1,Migrate/review,World interaction adapters,6,"Only serialized FrontDoor=0 and CoatCloset=1 roles remain; unreachable grandfather-clock and Drawing Room exit roles are pruned."
Assets/_Chateau/Scripts/Chapter/Chapter01/GuestArrivalConfig.cs,GuestArrivalConfig | GuestArrivalState,146,13,0,Migrate/review,Game Flow / Story,6,"Map to an approved beat, state owner, or world interaction."
Assets/_Chateau/Scripts/Chapter/Chapter02/Chapter2GuestFindAction.cs,Chapter2GuestFindAction,387,36,0,Migrate/review,Game Flow / Story,6,"Map to an approved beat, state owner, or world interaction."
Assets/_Chateau/Scripts/Chapter/Chapter02/Chapter2InteractionHUD.cs,Chapter2InteractionHUD,1104,8,1,Migrate/review,UIService / Chapter2View,6,Serialized and explicitly bound once; runtime HUD creation fallback removed. Preserve the facade while UI ownership migrates.
Assets/_Chateau/Scripts/Chapter/Chapter02/Chapter2PanicAnimationLibrary.cs,Chapter2PanicAnimationLibrary | Chapter2PanicCharacterAnimation | Chapter2PanicRoster,196,40,3,Migrate/review,Game Flow / Story,6,"Map to an approved beat, state owner, or world interaction."
Assets/Scripts/Story/ChapterManager.cs,ChapterPhase | ChapterManager,814,32,1,Compatibility service,GameFlowService,6,Uses eight validated serialized owners with zero dependency/player/debug-canvas searches; preserve GUID/API and the Chapter 2 adapter until GameFlowService owns transitions.
Assets/_Chateau/Scripts/Chapter/Chapter02/Chapter2GuestSearchController.cs,Chapter2GuestSearchController,2745,15,1,Extract beat,GuestSearchBeat,6,"Serialized once and explicitly bound through Chapter2Controller/GameRoot; owns the validated serialized navigation service with no resolver/global lookup. Actor lookup still moves to ActorRegistry."
Assets/_Chateau/Scripts/Chapter/Chapter02/Chapter2MonsterStingerController.cs,Chapter2MonsterStingerController,884,8,1,Extract beat,MonsterStingerBeat,6,"Validated serialized monster, anchors, navigation, Image, violin graph, overlay Canvas, and ordered eight-sprite array with no presentation discovery or repair fallback."
Assets/_Chateau/Scripts/Chapter/Chapter02/Chapter2GuestPanicController.cs,Chapter2GuestPanicController,2814,9,1,Extract beat,PanicAndScatterBeat,6,Serialized once and explicitly bound through Chapter2Controller/GameRoot; top-level factory removed. Actor behavior moves to actor components.
Assets/Scripts/Audio/Chapter2PanicScreamCatalog.cs,Chapter2PanicScreamCatalog,46,5,1,Migrate/review,Audio / Narrative,7,"Map to AudioService, DialogueService, emitter, or data catalog."
Assets/Scripts/Audio/ClockTickingAmbienceCatalog.cs,ClockTickingAmbienceCatalog,256,7,1,Migrate/review,Audio / Narrative,7,"Map to AudioService, DialogueService, emitter, or data catalog."
Assets/Scripts/Audio/ClockTickingAmbienceController.cs,ClockTickingAmbienceController,279,10,0,Migrate/review,AudioService / RoomAmbience,7,Serialized once under GameRoot with explicit navigation/catalog/source; root/resource/source repair factories removed.
Assets/Scripts/Audio/DoorOpenSoundCatalog.cs,DoorOpenSoundCatalog,49,8,2,Migrate/review,Audio / Narrative,7,"Map to AudioService, DialogueService, emitter, or data catalog."
Assets/Scripts/Audio/FireplaceAmbienceCatalog.cs,FireplaceAmbienceCatalog,161,4,1,Migrate/review,Audio / Narrative,7,"Map to AudioService, DialogueService, emitter, or data catalog."
Assets/Scripts/Audio/FireplaceAmbienceController.cs,FireplaceAmbienceController,267,9,0,Migrate/review,AudioService / RoomAmbience,7,Serialized once under GameRoot with explicit navigation/catalog/source/filter; root/resource/component repair factories removed.
Assets/Scripts/Audio/GameAudioChannel.cs,GameAudioChannel,7,0,0,Migrate/review,Audio / Narrative,7,"Map to AudioService, DialogueService, emitter, or data catalog."
Assets/Scripts/Audio/GameAudioSettings.cs,GameAudioSettings,203,60,0,Migrate/review,Audio / Narrative,7,"Map to AudioService, DialogueService, emitter, or data catalog."
Assets/Scripts/Audio/GameAudioSourceVolume.cs,GameAudioSourceVolume,65,6,0,Migrate/review,Audio / Narrative,7,"Map to AudioService, DialogueService, emitter, or data catalog."
Assets/Scripts/Audio/GuestFootstepAudio.cs,GuestFootstepAudio,286,14,0,Migrate/review,Audio / Narrative,7,"Map to AudioService, DialogueService, emitter, or data catalog."
Assets/Scripts/Audio/GuestFootstepCatalog.cs,GuestFootstepCatalog,156,18,1,Migrate/review,Audio / Narrative,7,"Map to AudioService, DialogueService, emitter, or data catalog."
Assets/Scripts/Audio/GuestVoiceLineCatalog.cs,GuestVoiceLineCatalog,50,5,1,Migrate/review,Audio / Narrative,7,"Map to AudioService, DialogueService, emitter, or data catalog."
Assets/Scripts/Audio/GuestVoiceLinePlayback.cs,GuestVoiceLinePlayback,474,22,1,Migrate/review,DialogueService / AudioEmitter,7,Serialized once with validated AudioSource/catalog/navigation/Dialogue-volume ownership; all stable repair paths are removed while temporary overlap playback remains dynamic.
Assets/Scripts/Audio/PlayerFootstepAudio.cs,PlayerFootstepAudio,304,4,0,Migrate/review,Audio / Narrative,7,"Map to AudioService, DialogueService, emitter, or data catalog."
Assets/Map/CameraManager.cs,CameraManager | NavigationCursorController,2936,131,2,Split behind facade,CameraService + cursor/input presenter,7,Now derives GameServiceBase; exposes deterministic layout scale separately from relative actor zoom so ActorPresenter can consume it later.
Assets/Scripts/UrpPostProcessingBootstrap.cs,UrpPostProcessingBootstrap,66,1,0,Retire after render-rig migration,CameraService serialized render rig,7,Visual parity required before removal.
Assets/Scripts/UI/SubtitleService.cs,SubtitleService,795,21,1,Split behind facade,DialogueService + SubtitleScreen,7,Serialized once and explicitly bound to line bank/navigation with asset/navigation repair removed; separate queue/state from lazy rendering later.
Assets/Scripts/Environment/RoomEnvironmentMarker.cs,RoomEnvironmentItemKind | RoomEnvironmentMarker,40,11,21,Migrate/review,Lighting / World presentation,7,Separate Editor authoring from narrow runtime view behavior.
Assets/Scripts/Lighting/NoPostProcessRenderLayer.cs,NoPostProcessRenderLayer,60,8,0,Migrate/review,Lighting / World presentation,7,Separate Editor authoring from narrow runtime view behavior.
Assets/Scripts/Lighting/PostProcessBypassCamera.cs,PostProcessBypassCamera,158,13,0,Migrate/review,Lighting / World presentation,7,Separate Editor authoring from narrow runtime view behavior.
Assets/Scripts/Lighting/RoomLightOverlay.cs,RoomLightOverlay,421,17,680,Migrate/review,Lighting / World presentation,7,Separate Editor authoring from narrow runtime view behavior.
Assets/Scripts/Lighting/RoomLightingPreset.cs,RoomLightingPreset | RoomLightDefinition | RoomLightAnimationStyle,44,20,2,Migrate/review,Lighting / World presentation,7,Separate Editor authoring from narrow runtime view behavior.
Assets/Scripts/Lighting/RoomLightingController.cs,RoomLightingController,777,3,1,Split runtime/editor,LightingService + Editor bake tools,7,Now derives GameServiceBase; runtime scene generation remains migration debt.
Assets/Scripts/Audio/DialogueSpeechService.cs,DialogueSpeechService,368,32,1,Compatibility service,NarrativeService / DialogueService,7,Serialized once and explicitly bound to SubtitleService/voice/indicator and exact Butler movement owner; core/player lookup factories are removed and blocking input is a token-safe service-owned lease.
Assets/Scripts/MainMenuController.cs,MainMenuController,1516,4,1,Migrate/review,UI / Input,7,"Map to UIService, InputRouter, or a narrow view."
Assets/Scripts/UI/CursorStyleCatalog.cs,CursorStyleCatalog,151,31,0,Migrate/review,UI / Input,7,"Map to UIService, InputRouter, or a narrow view."
Assets/Scripts/UI/NavigationCursorHoverTarget.cs,NavigationCursorHoverTarget,100,7,0,Migrate/review,UI / Input,7,"Map to UIService, InputRouter, or a narrow view."
Assets/Scripts/UI/PostProcessSafeCanvasUtility.cs,PostProcessSafeCanvasUtility,125,6,0,Migrate/review,UI / Input,7,"Map to UIService, InputRouter, or a narrow view."
Assets/Scripts/UI/RuntimeSettingsMenu.cs,RuntimeSettingsMenu,1628,29,1,Migrate/review,UIService / SettingsView,7,Serialized once under a correctly scaled canvas with a validated navigation/chapter/clock/music graph and Music-channel volume owner; all external searches and root/component repairs are removed while nested controls remain runtime-owned.
Assets/Scripts/UI/SpeakingCharacterIndicator.cs,SpeakingCharacterIndicator,649,17,1,Migrate/review,DialogueView,7,Serialized once with explicit bubble sprite and bound to DialogueSpeechService; root factory removed while the bubble child stays lazy.
Assets/Scripts/UI/SubtitleLine.cs,SubtitleLine,14,7,0,Migrate/review,UI / Input,7,"Map to UIService, InputRouter, or a narrow view."
Assets/Scripts/UI/SubtitleLineBank.cs,SubtitleSpeakerPortraitBinding | SubtitleLineBank,68,11,2,Migrate/review,UI / Input,7,"Map to UIService, InputRouter, or a narrow view."
Assets/Scripts/Oddities/OdditySpriteAnimator.cs,OdditySpriteAnimator,246,1,0,Quarantine pending requirement,FrameSequencePresenter or delete,8,No serialized instance; future chapter intent unresolved.
Assets/Scripts/StaticFrameGroup.cs,StaticFrameGroup,68,5,0,Migrate/review,Presentation,8,Choose one canonical presentation path after content audit.
Assets/Scripts/StaticNoisePlayer.cs,StaticNoisePlayer,305,2,1,Migrate/review,Presentation,8,Choose one canonical presentation path after content audit.
Assets/Scripts/StaticSet.cs,StaticSet,35,3,0,Migrate/review,Presentation,8,Choose one canonical presentation path after content audit.
Assets/Scripts/StaticSetImagePlayer.cs,StaticSetImagePlayer,288,8,24,Migrate/review,Presentation,8,Choose one canonical presentation path after content audit.
